,layer_1,layer_2,dropout,default,accuracy,flops log10,latency in us
0,512,4,0.2,68.19078495750138,85.01,5.60640501416621,3689.0
1,4,4096,0.9,-3.080495853629449,11.35,4.8101652845431495,14203.0
